initial, variation, count
A,	15042,		30689710	
B,	5707,		17518418
C,	8410,		26869658
D,	9171,		25317832
E,	5343,		17833574
F,	2125,		5319100	
G,	3721,		11217267
H,	3449,		8642159	
I,	2335,		3579201	
J,	11031,		46766185
K,	11055,		18058411
L,	8182,		19852353
M,	11316,		34379711
N,	5372,		8287034	
O,	1805,		2249871	
P,	3167,		9647891	
Q,	680,		287280	
R,	7089,		24682838
S,	12924,		22609547
T,	9610,		15058585
U,	487,		159978	
V,	2428,		4966553	
W,	1499,		8648929		
X,	425,		256431	
Y,	2181,		876522	
Z,	2715,		1623112	